fold,r2,rmse,pearson,spearman
1,0.6837210182138439,0.2135887820077486,0.8580252748185411,0.3498452012383901
2,0.4542724710516163,0.4230212218538542,0.7992337012203775,0.8161764705882354
3,0.44706249623103644,0.38247136089933037,0.6924348823581442,0.46323529411764713
4,0.6385978887876227,0.3115838299407836,0.8138822154914777,0.7549019607843138
5,0.7118009624088966,0.3179596627080349,0.8486259261172302,0.8284313725490197
6,0.3249744316225076,0.4511411932695571,0.6344761964826205,0.6470588235294118
7,0.6642027322418695,0.2705746828778445,0.8327691077686211,0.6911764705882353
8,0.7351817759807504,0.2533829546128026,0.8817037460695146,0.698529411764706
9,0.6421283613383011,0.3827191781998539,0.8674889675734675,0.7965686274509804
10,0.7031856245769827,0.30297814364395165,0.9047304921762211,0.6911764705882353
11,0.712907878376015,0.3578970596881005,0.920923475021261,0.7708978328173374
12,0.022193529149499458,0.4475561900795605,0.5485174812878144,0.573529411764706
13,0.6632021760200474,0.33118861919263226,0.9004354289368336,0.45833333333333337
14,0.7729392768641197,0.26366248140726645,0.903977227512427,0.8308823529411766
15,0.6602082763483188,0.3000467373546876,0.8138783055304858,0.8161764705882354
16,0.6073215934522791,0.34686050461457163,0.8275049497178638,0.8059855521155831
17,0.7700541115429786,0.25557166618198274,0.9034206753141711,0.8112745098039217
18,0.6276144128441741,0.3901446869587165,0.8277672127065488,0.7769607843137256
19,0.534608199645486,0.3394866276343275,0.7594445942851902,0.5073529411764706
20,0.5976249736866055,0.3094923813743198,0.7756719664181174,0.5171568627450981
21,0.7215777236010237,0.29343190131465313,0.8671163850893413,0.7358101135190918
22,0.5492355370830586,0.3723067620090372,0.7725205360699535,0.6887254901960785
23,0.726007277195795,0.29852198596791374,0.8791760178495203,0.6446078431372549
24,0.5977025688685552,0.38899548338804857,0.8321165271716677,0.7990196078431374
25,0.6085840719162818,0.29191743412785254,0.7974683715882006,0.6838235294117648
