feature,mean_abs_shap,group,coef
esm2_x_am,0.07571502195341355,engineered,0.29961559497017054
am_pathogenicity_sq,0.06953477985478701,engineered,-0.052606110797672676
esm2_llr,0.06747587719215206,evo,0.020751564305985085
am_pathogenicity,0.05977177197429843,alphamissense,-0.0
am_class_enc,0.05740427772014569,alphamissense,-0.0
ddg_evoef2,0.023212869665023114,evo,-0.017750968699646354
pam250_score,0.020133498599754617,biochemical,0.0
is_charge_reversal,0.015580765731088665,biochemical,0.0
is_size_increase,0.010934928214156892,biochemical,-0.0
delta_aromaticity,0.010821752380420557,biochemical,0.0
delta_hydrophobicity,0.008719865029052299,biochemical,0.0
am_x_evo,0.008486760726933095,engineered,0.0
delta_size,0.0065152183998077795,biochemical,-0.0
shell_rmsd_5A,0.00602201023701401,structural,-0.0
mutant_ca_displacement,0.005991539535873936,structural,-0.0
backbone_rmsd,0.005287398799525788,structural,-0.0
ca_rmsd,0.005112903202085852,structural,-0.0
plddt_rmsd,0.004818832938087968,engineered,-0.0
ramachandran_violation,0.004530547874819108,structural,-0.0
shell_rmsd_8A,0.004455873157237586,structural,-0.0
is_hydrophobic_to_polar,0.002497082710222079,biochemical,-0.0
evoef2_ddg_Total,0.001996233756352865,evo,0.0
mutant_plddt,0.001830271178447494,structural,0.0
is_polar_to_hydrophobic,0.0016738850597307613,biochemical,0.0
shell_rmsd_12A,0.0014812923228152816,structural,-0.0
delta_charge,0.0010849258534223955,biochemical,0.0
is_disordered_variant,0.0,structural,0.0
