,coefficient
alphamissense_score,0.03453508365559372
is_interface_residue,0.012228104923668716
is_size_increase,0.009061404507368849
ddg_evoef2,0.00868383548919857
delta_aromaticity,-0.007045458278089182
is_charge_reversal,0.00649677401769022
ramachandran_clash,0.005356932093208404
delta_charge,-0.0048899873910780815
shell_rmsd_12,-0.004805151175625503
evoef2_ddg_total,-0.004564741343542044
local_displacement,0.003915350569315476
is_hydrophobic_to_polar,0.0032020785959395756
shell_rmsd_8,-0.0031519731014972466
pam_score,0.0027238907448143717
plddt,-0.0022404159677342794
delta_size,-0.0018478911367061015
delta_hydrophobicity,-0.0016815407688476251
ca_rmsd,0.001599190124242198
backbone_rmsd,0.0012296421501898685
is_polar_to_hydrophobic,0.0009502381063977037
shell_rmsd_5,0.0004931746397807118
is_disordered_variant,-0.00010213312123455498
